Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-03-16,6740.8,7032.03,6450.0,6721.26,3276.22193639,22207659.780151,6778.435713858
2018-03-15,6647.99,6854.59,6223.75,6740.8,5099.31827089,33475522.085099,6564.7053795794
2018-03-14,7407.65,7603.02,6430.1,6647.74,4411.07173248,30565437.836231,6929.2543150384
2018-03-13,7408.07,7711.11,7173.32,7392.95,2668.72482575,19801493.68149,7419.8334314684
2018-03-12,7771.38,8054.69,7110.0,7410.22,3653.88629017,27711628.444109,7584.1518436577
2018-03-11,7154.49,7933.85,6860.0,7743.84,2937.51644829,21810311.043062,7424.7451638129
2018-03-10,7529.4,7745.99,7091.01,7154.49,2117.02668996,15912780.819988,7516.5707146984
2018-03-09,7569.69,7658.48,6799.12,7530.0,5610.74394562,40357415.024448,7192.8812677244
2018-03-08,8011.0,8196.15,7355.0,7546.37,4330.02918563,33751334.781466,7794.7129995049
2018-03-07,8656.7,8787.9,7630.0,8009.57,4910.07672673,39920511.287422,8130.3233145215
2018-03-06,9210.32,9238.9,8528.0,8640.28,2818.32869199,24946588.818878,8851.5540752147
2018-03-05,9300.42,9458.72,9210.54,9210.54,1684.53569505,15756381.642355,9353.5457210289
2018-03-04,9259.9,9330.0,8948.68,9300.03,1302.63885596,11869473.104266,9111.8678442297
2018-03-03,8951.89,9299.0,8935.99,9243.53,1452.78057384,13317306.898917,9166.7710449324
2018-03-02,8894.48,9099.0,8748.42,8948.49,2612.88508592,23261339.056079,8902.5495921833
2018-03-01,8462.8,9000.0,8364.89,8864.3,2812.93995951,24686826.222425,8776.16535645
2018-02-28,8623.59,9048.55,8410.01,8463.0,2789.09506376,24163042.846941,8663.3988066246
2018-02-27,8395.0,8843.28,8212.57,8623.44,3348.74764778,29021068.409564,8666.2452540438
2018-02-26,7826.55,8499.24,7620.03,8374.5,3015.26618995,24471177.055861,8115.7601068272
2018-02-25,7912.0,8060.0,7600.0,7825.58,1327.32656367,10326380.398729,7779.8340524259
2018-02-24,8257.8,8544.93,7620.86,7902.8,2607.9462453,20924547.705777,8023.3815184982
2018-02-23,7995.99,8471.29,7770.17,8272.8,2897.96273583,23773552.530838,8203.5397615384
2018-02-22,8517.47,8912.42,7826.11,8000.0,4571.01851526,37698459.790086,8247.2778581475
2018-02-21,9133.48,9165.74,8322.66,8523.08,5611.26038068,48987050.962181,8730.1332746645
2018-02-20,9027.74,9567.98,9000.0,9118.46,4120.11986295,38363483.028559,9311.2541150904
2018-02-19,8432.2,9089.57,8349.52,9035.62,3135.81488289,27741108.370171,8846.5389081274
2018-02-18,8984.96,9131.0,8224.73,8417.19,3114.60382527,26909337.743983,8639.7305254869
2018-02-17,8206.0,8999.58,8096.4,8960.22,3049.97722148,26397052.644277,8654.8359962728
2018-02-16,8055.25,8268.27,7811.0,8220.0,2450.7033372,19675656.109927,8028.5752303282
2018-02-15,7619.24,8219.11,7501.0,8055.25,5023.64188284,39751107.433459,7912.8067566366
2018-02-14,6914.5,7655.49,6900.85,7620.0,3973.1125783,29250600.37048,7362.1373152723
2018-02-13,7235.99,7300.79,6810.0,6908.7,3126.78552063,21802188.839549,6972.716451353
